9/3/2020 15:06 | /src/responses/response.js(26) | ej0OyXKbSeO4YaiAIj7JObVkyHCrfQCb | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/sign_up | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","verifyEmailLink":"http://192.168.10.118:2081/or1.0/v1/api/user/verify_email?token=82fda1aac54a368a4fb68806519ac04207c6ef4a5260bfa7e5fb3ff728a06031a6233b8d38998fe33e0558093f94fd81a35739f36bbd18a215f154a866a9e2c7","token":"82fda1aac54a368a4fb68806519ac04207c6ef4a5260bfa7e5fb3ff728a06031a6233b8d38998fe33e0558093f94fd81f1a645a3701d110aeb291f3629f4e713840a582f88b39390aa660f9e7137f8e6"}
9/3/2020 15:08 | /src/exceptions/Handler.js(62) | cRABmHKhrEXpH8aXsTGFvZkAmThsohYd | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
9/3/2020 15:08 | /src/responses/response.js(42) | cRABmHKhrEXpH8aXsTGFvZkAmThsohYd | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
9/3/2020 15:08 | /src/responses/response.js(26) | iPVR87IqQKuepQVv5nRElAgcMoqKKfZe | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjMzNywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTgzNzQ2NzM5fQ.Du6rPwe70he1pL2UXjsh_mAPvXOyksRWtoItZ98iJ2Y"}
9/3/2020 15:10 | /src/responses/response.js(26) | zHVI6S2trrLrHsWECOhWW1U8sWVkLgvX | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/driverDocuments | Request : {} | Response :  {"consentUrl":"https://sandbox.screeningcanada.com/candidates/activate/b1QvdTZkZTZyS2s4YVBYNkU4TWNCUU1iK0VoUEhTKzFlbmg5ajdNbzdjQURERWE2SFV3UmYvRlhuU0hjU2h6QXFDR1ZuanltK2RwRUZuemNwVklCVk5IMnpYRzFDVDMyM2FrQ2JtUXNmRzBSaDVKRDBXL3BpNlBKSHZCTGptY3RSUmFhcDU2ZHhCU01VZnMxd0JwTjF3PT0=?hmac=ZjZhNjg0OGFmODM5NTE5MGMxM2Q5Yzc4MzVhN2FlZTA1NDcwNThjNDNhZGQwMDM4NGU2MGQxOWYwYzgyNTdmMQ%253D%253D&hmac-date=1583746803","confirmationUrl":"https://sandbox.screeningcanada.com/candidates/activate/b1QvdTZkZTZyS2s4YVBYNkU4TWNCUU1iK0VoUEhTKzFlbmg5ajdNbzdjQURERWE2SFV3UmYvRlhuU0hjU2h6QXFDR1ZuanltK2RwRUZuemNwVklCVk5IMnpYRzFDVDMyM2FrQ2JtUXNmRzBSaDVKRDBXL3BpNlBKSHZCTGptY3Q3TVZ0eTZaSStadjF3NWhxbTU0VXhBPT0=?hmac=ZjZhNjg0OGFmODM5NTE5MGMxM2Q5Yzc4MzVhN2FlZTA1NDcwNThjNDNhZGQwMDM4NGU2MGQxOWYwYzgyNTdmMQ%253D%253D&hmac-date=1583746803","consentUrlTest":"https://sandbox.screeningcanada.com/candidates/activate/b1QvdTZkZTZyS2s4YVBYNkU4TWNCUU1iK0VoUEhTKzFlbmg5ajdNbzdjQURERWE2SFV3UmYvRlhuU0hjU2h6QXFDR1ZuanltK2RwRUZuemNwVklCVk5IMnpYRzFDVDMyM2FrQ2JtUXNmRzBSaDVKRDBXL3BpNlBKSHZCTGptY3RSUmFhcDU2ZHhCU01VZnMxd0JwTjF3PT0=","confirmationUrlTest":"https://sandbox.screeningcanada.com/candidates/activate/b1QvdTZkZTZyS2s4YVBYNkU4TWNCUU1iK0VoUEhTKzFlbmg5ajdNbzdjQURERWE2SFV3UmYvRlhuU0hjU2h6QXFDR1ZuanltK2RwRUZuemNwVklCVk5IMnpYRzFDVDMyM2FrQ2JtUXNmRzBSaDVKRDBXL3BpNlBKSHZCTGptY3Q3TVZ0eTZaSStadjF3NWhxbTU0VXhBPT0=","redirectUrl":"http://180.151.69.138:2081/or1.0/v1/driver/sc_redirect_url?token=82fda1aac54a368a4fb68806519ac04207c6ef4a5260bfa7e5fb3ff728a06031a6233b8d38998fe33e0558093f94fd81dba8bf748c65562ed7de7963cb61c06115fe11b0f5167f1b40b9d5cd171c76b8"}
9/3/2020 15:13 | /src/responses/response.js(26) | JAo8e62r7sMJi1cqiMaa2vnGymeLsIK9 | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/driverDocuments | Request : {} | Response :  {"consentUrl":"https://sandbox.screeningcanada.com/candidates/activate/RVBpL2FQc1RXSlI2a3d3K0NVNDVhL240dEVDMmVKZis0dmJ0MEw0M002dW1NMmswd2oxTEZzWSt2clVnODh3V0FHSitRWGdRMG5obU82aS9rTm1vUUVCT3VsRXRTZGp1YkJYWFNtcllSQkFIUGVvaEcwSlpWWFNOaURzTDFrd1lrMEVKeElCZWFvSHJXRDZHNWxkMEF3PT0=?hmac=M2VhOTUwMDU5Yjc5NzVkYmI4NmM3ZDllZTMzYWE3YjRmMjhlMTgyYTQ0N2VhYmIyOGJjZTU1ODUyYWU5NDVkMg%253D%253D&hmac-date=1583747011","confirmationUrl":"https://sandbox.screeningcanada.com/candidates/activate/RVBpL2FQc1RXSlI2a3d3K0NVNDVhL240dEVDMmVKZis0dmJ0MEw0M002dW1NMmswd2oxTEZzWSt2clVnODh3V0FHSitRWGdRMG5obU82aS9rTm1vUUVCT3VsRXRTZGp1YkJYWFNtcllSQkFIUGVvaEcwSlpWWFNOaURzTDFrd1lYZkdEbk1RVktMN1cwbHl3dmZyNDlnPT0=?hmac=M2VhOTUwMDU5Yjc5NzVkYmI4NmM3ZDllZTMzYWE3YjRmMjhlMTgyYTQ0N2VhYmIyOGJjZTU1ODUyYWU5NDVkMg%253D%253D&hmac-date=1583747011","consentUrlTest":"https://sandbox.screeningcanada.com/candidates/activate/RVBpL2FQc1RXSlI2a3d3K0NVNDVhL240dEVDMmVKZis0dmJ0MEw0M002dW1NMmswd2oxTEZzWSt2clVnODh3V0FHSitRWGdRMG5obU82aS9rTm1vUUVCT3VsRXRTZGp1YkJYWFNtcllSQkFIUGVvaEcwSlpWWFNOaURzTDFrd1lrMEVKeElCZWFvSHJXRDZHNWxkMEF3PT0=","confirmationUrlTest":"https://sandbox.screeningcanada.com/candidates/activate/RVBpL2FQc1RXSlI2a3d3K0NVNDVhL240dEVDMmVKZis0dmJ0MEw0M002dW1NMmswd2oxTEZzWSt2clVnODh3V0FHSitRWGdRMG5obU82aS9rTm1vUUVCT3VsRXRTZGp1YkJYWFNtcllSQkFIUGVvaEcwSlpWWFNOaURzTDFrd1lYZkdEbk1RVktMN1cwbHl3dmZyNDlnPT0=","redirectUrl":"http://180.151.69.138:2081/or1.0/v1/driver/sc_redirect_url?token=82fda1aac54a368a4fb68806519ac04207c6ef4a5260bfa7e5fb3ff728a06031a6233b8d38998fe33e0558093f94fd81dba8bf748c65562ed7de7963cb61c06115fe11b0f5167f1b40b9d5cd171c76b8"}
9/3/2020 16:01 | /src/exceptions/Handler.js(26) | Y2XuteJOxSLwAF5ooC7lRddxccARVJUV | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/driver/screeningcanada_status | Request : {} | Error : resultArray is not defined
9/3/2020 16:01 | /src/responses/response.js(42) | Y2XuteJOxSLwAF5ooC7lRddxccARVJUV | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/driver/screeningcanada_status | Request : {} | Error : Something went wrong. Please try again resultArray is not defined
9/3/2020 16:02 | /src/exceptions/Handler.js(26) | 1UMKbVjXCgC8q5DgQbdJ95kb8XMcw9Fh | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/driver/screeningcanada_status | Request : {} | Error : Cannot read property 'requestTo' of undefined
9/3/2020 16:02 | /src/responses/response.js(42) | 1UMKbVjXCgC8q5DgQbdJ95kb8XMcw9Fh | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/driver/screeningcanada_status | Request : {} | Error : Something went wrong. Please try again Cannot read property 'requestTo' of undefined
9/3/2020 16:24 | /src/responses/response.js(26) | yO6FxJSAh1LiPOrqIdDxnyZXXTSwnLWu | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/driver/screeningcanada_status | Request : {} | Response :  null
