2/3/2020 16:04 | /src/responses/response.js(26) | yZWRsG7KdxabrvAyEgOCndY5TN5BJxNQ | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/sign_up | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","verifyEmailLink":"http://192.168.10.118:2081/or1.0/v1/api/user/verify_email?token=6a5146c4e04b2c577aa5622575dc388308d50cb2f331893189f55477ca34ba58e141e5d53e782145fef9a762bfbc2122e775145c6f265886b5b6fad68c690616","token":"6a5146c4e04b2c577aa5622575dc388308d50cb2f331893189f55477ca34ba58f32a3d1582d68701ad35052b5e8d688c875f04dfaf68985d5b69858ff8722e9c"}
2/3/2020 16:06 | /src/exceptions/Handler.js(53) | kfoS3SNkop2gdEsY2aHEWCH9PA2eOLGO | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/driver/driver_profile | Request : {} | Error : Invalid token provided.
2/3/2020 16:06 | /src/responses/response.js(42) | kfoS3SNkop2gdEsY2aHEWCH9PA2eOLGO | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/driver/driver_profile | Request : {} | Error : Unauthorized access. Invalid token provided.
2/3/2020 16:06 | /src/responses/response.js(26) | 4VMn3s2fnquKe8exaMRHZ4QbDNTgfDGK | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","typeId":3,"status":1,"createdAt":"2020-03-02T10:34:13.000Z","updatedAt":"2020-03-02T10:34:13.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":128,"emailStatus":2,"signUpStatus":5,"phoneNo":"7418530983"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTgzMTQ1NDAzLCJleHAiOjE1ODMyMzE4MDN9.jRCBlHQ4L2AT6WrOFB-UbC3SBkJJdcS0UvW_ahyVQ_8"}
2/3/2020 16:07 | /src/responses/response.js(26) | gQD9nzKoqivLFtTYtBys4vJDSVN1BTcW | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/driver_profile | Request : {} | Response :  {"userAddress":"Chennai,India","age":"40","gender":"1","phone":"9815178909","experience":"20","workingWithOthers":"1","otherServiceInfo":"Test Des","latitude":"390000","longitude":"80000","postalCode":"234567","userprofile":"http://180.151.69.138:2081/public/uploads/1583145424181.png"}
2/3/2020 16:08 | /src/exceptions/Handler.js(53) | zrHHZB9INpt44d7sOlczHP29UIfEcyYn | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | Error : Invalid token provided.
2/3/2020 16:08 | /src/responses/response.js(42) | zrHHZB9INpt44d7sOlczHP29UIfEcyYn | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | Error : Unauthorized access. Invalid token provided.
2/3/2020 16:08 | /src/responses/response.js(26) | RttCzmCfQ7YmjudROUnwHaRYemSePEsn | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","typeId":3,"status":1,"createdAt":"2020-03-02T10:34:13.000Z","updatedAt":"2020-03-02T10:34:13.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":128,"emailStatus":2,"signUpStatus":5,"phoneNo":"9815178909"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTgzMTQ1NDkzLCJleHAiOjE1ODMyMzE4OTN9.hTe2iFyNZOFFx_t0SHQcFwI8KPtmXUKbikXgMzajYKk"}
2/3/2020 16:08 | /src/responses/response.js(26) | lj9O9FQ58KUvMgNcfojYsMnw7xoSTomW | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","typeId":3,"status":1,"createdAt":"2020-03-02T10:34:13.000Z","updatedAt":"2020-03-02T10:34:13.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":128,"userId":177,"emailStatus":2,"phone":"9815178909","age":40,"gender":1,"experience":20,"profilePicture":"http://180.151.69.138:2081/public/uploads/1583145424181.png","userprofile":"http://180.151.69.138:2081/public/uploads/1583145424181.png","workingWithOthers":1,"otherServiceInfo":"Test Des","description":"Test Des"},"addressDetails":{"addressId":128,"addressLine1":"Chennai,India","userAddress":"Chennai,India","addressLine2":null,"postalCode":"234567","latitude":"390000","longitude":"80000","createdAt":"2020-03-02T10:37:04.000Z","updatedAt":"2020-03-02T10:37:04.000Z","createdBy":177,"updatedBy":177},"vehicleDetails":null,"financialDetails":{"financialId":12,"bankName":"HDFC","accountNumber":"1234567898","institutionNumber":"1234","transitNumber":"67898","createdAt":"2020-03-02T10:38:25.000Z","updatedAt":"2020-03-02T10:38:25.000Z","createdBy":177,"updatedBy":null},"documents":[]}
2/3/2020 16:10 | /src/responses/response.js(61) | VmzCDVCzDU6JsfejliyGx14GFTsKksH5 | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | BadRequestError : {"accountNumber":"accountNumber is not allowed to be empty"}
2/3/2020 16:17 | /src/responses/response.js(26) | XMPBSVPDjyxvsQs2KstJnCCkoPzoZSPe | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","typeId":3,"status":1,"createdAt":"2020-03-02T10:34:13.000Z","updatedAt":"2020-03-02T10:34:13.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":128,"userId":177,"emailStatus":2,"phone":"9815178909","age":40,"gender":1,"experience":20,"profilePicture":"http://180.151.69.138:2081/public/uploads/1583145424181.png","userprofile":"http://180.151.69.138:2081/public/uploads/1583145424181.png","workingWithOthers":1,"otherServiceInfo":"Test Des","description":"Test Des"},"addressDetails":{"addressId":128,"addressLine1":"Chennai,India","userAddress":"Chennai,India","addressLine2":null,"postalCode":"234567","latitude":"390000","longitude":"80000","createdAt":"2020-03-02T10:37:04.000Z","updatedAt":"2020-03-02T10:37:04.000Z","createdBy":177,"updatedBy":177},"vehicleDetails":null,"financialDetails":null,"documents":[{"documentId":58,"name":"FINANCIAL_DOCUMENT","type":5,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583146047403.png","createdAt":"2020-03-02T10:47:27.000Z","updatedAt":"2020-03-02T10:47:27.000Z","createdBy":177,"updatedBy":null}]}
2/3/2020 16:20 | /src/responses/response.js(26) | p2nsXU6QI8buhvQG4vTTSbt7vTCGa55G | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/driver/financial_details | Request : {} | Response :  {"userId":177,"firstName":"doss","lastName":"sethu","emailId":"v.praksh+1@batumbu.id","typeId":3,"status":1,"createdAt":"2020-03-02T10:34:13.000Z","updatedAt":"2020-03-02T10:34:13.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":128,"userId":177,"emailStatus":2,"phone":"9815178909","age":40,"gender":1,"experience":20,"profilePicture":"http://180.151.69.138:2081/public/uploads/1583145424181.png","userprofile":"http://180.151.69.138:2081/public/uploads/1583145424181.png","workingWithOthers":1,"otherServiceInfo":"Test Des","description":"Test Des"},"addressDetails":{"addressId":128,"addressLine1":"Chennai,India","userAddress":"Chennai,India","addressLine2":null,"postalCode":"234567","latitude":"390000","longitude":"80000","createdAt":"2020-03-02T10:37:04.000Z","updatedAt":"2020-03-02T10:37:04.000Z","createdBy":177,"updatedBy":177},"vehicleDetails":null,"financialDetails":{"financialId":13,"bankName":null,"accountNumber":"2345678909","institutionNumber":null,"transitNumber":null,"createdAt":"2020-03-02T10:50:06.000Z","updatedAt":"2020-03-02T10:50:06.000Z","createdBy":177,"updatedBy":null},"documents":[{"documentId":59,"name":"FINANCIAL_DOCUMENT","type":5,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583146206070.png","createdAt":"2020-03-02T10:50:06.000Z","updatedAt":"2020-03-02T10:50:06.000Z","createdBy":177,"updatedBy":null}]}
