4/2/2020 16:04 | /src/exceptions/Handler.js(44) | 296ps4039hXaVQ9QrcoSXfBs4Lkuvfsx | IP - Unknown | [error] | URL : http://192.168.10.106:2013/api/user/create_driver | Request : {} | Error : User already exist!
4/2/2020 16:04 | /src/responses/response.js(42) | 296ps4039hXaVQ9QrcoSXfBs4Lkuvfsx | IP - Unknown | [error] | URL : http://192.168.10.106:2013/api/user/create_driver | Request : {} | Error : Invalid request. User already exist!
4/2/2020 16:04 | /src/responses/response.js(26) | 3QF13bbVd41OSSMzEmEbjJEFWwlHuVzr | IP - Unknown | [info] | URL : http://192.168.10.106:2012/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":19,"firstName":"Root","lastName":"Root","emailId":"root@email.com","typeId":1,"status":1,"createdAt":"2020-01-31T08:08:50.000Z","updatedAt":"2020-01-31T08:08:50.000Z","createdBy":null,"updatedBy":19,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE5LCJpYXQiOjE1ODA4MTI0NTgsImV4cCI6MTU4MDg5ODg1OH0.wgV3CtEyMzMqtpKJbKFRqDuJEyNrkeX0aqASWOjU1AI"}
4/2/2020 16:04 | /src/responses/response.js(26) | U447N6EFCP7FJjpF20M8kmFutJ78MDv2 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/verify_token | Request : {} | Response :  {"userId":19,"firstName":"Root","lastName":"Root","emailId":"root@email.com","typeId":1,"status":1,"createdAt":"2020-01-31T08:08:50.000Z","updatedAt":"2020-01-31T08:08:50.000Z","createdBy":null,"updatedBy":19,"userDetails":{"detailsId":14,"userId":19,"emailStatus":2,"phoneNo":"12312312313"}}
4/2/2020 16:04 | /src/responses/response.js(26) | U447N6EFCP7FJjpF20M8kmFutJ78MDv2 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/admins?status=1&page=1&sortOut=Latest | Request : {} | Response :  {"list":[{"userId":69,"firstName":"Karan","lastName":"Mandal","emailId":"admin2@email.com","status":1,"updatedAt":"2020-02-03T10:39:20.000Z","userDetails":{"detailsId":56,"userId":69,"emailStatus":2,"phoneNo":"7898432337"}}],"pageMetaData":{"chunk":10,"total":1,"page":1,"totalPages":1}}
4/2/2020 16:04 | /src/responses/response.js(26) | U447N6EFCP7FJjpF20M8kmFutJ78MDv2 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/admins?status=4&page=1&sortOut=Latest | Request : {} | Response :  {"list":[{"userId":22,"firstName":"New","lastName":"Admin","emailId":"admin1@email.com","status":4,"updatedAt":"2020-01-31T09:44:44.000Z","userDetails":{"detailsId":16,"userId":22,"emailStatus":2,"phoneNo":"12312312311"}},{"userId":27,"firstName":"krishnaraj","lastName":"R","emailId":"krishnaraj@bizverify.org","status":4,"updatedAt":"2020-01-31T09:59:47.000Z","userDetails":{"detailsId":18,"userId":27,"emailStatus":2,"phoneNo":"8754666985"}}],"pageMetaData":{"chunk":10,"total":2,"page":1,"totalPages":1}}
4/2/2020 16:04 | /src/responses/response.js(26) | mqaa2XL8m5IWMjUWhgvE5jHLMPJCavBr | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/verify_token | Request : {} | Response :  {"userId":19,"firstName":"Root","lastName":"Root","emailId":"root@email.com","typeId":1,"status":1,"createdAt":"2020-01-31T08:08:50.000Z","updatedAt":"2020-01-31T08:08:50.000Z","createdBy":null,"updatedBy":19,"userDetails":{"detailsId":14,"userId":19,"emailStatus":2,"phoneNo":"12312312313"}}
4/2/2020 16:04 | /src/exceptions/Handler.js(26) | 3lLOHaaOnHMW4PyXbWheGXQyYQ1tVEgB | IP - Unknown | [error] | URL : http://192.168.10.106:2013/api/user/create_driver | Request : {} | Error : insert into `POD_USER_SERVICE`.`PODU04_USER_DETAIL` (`PODU03_USER_MASTER_D`, `PODU04_AGE_D`, `PODU04_CREATED_D`, `PODU04_EMAIL_STATUS_D`, `PODU04_EXPERIENCE_D`, `PODU04_GENDER_D`, `PODU04_OTHER_SERVICE_INFO`, `PODU04_PHONE_N`, `PODU04_PROFILE_I`, `PODU04_WORKING_WITH_OTHERS`) values (79, '20', 19, 2, '5', '1', 'Service info', '12345678901', 'public/uploads/1580812463204.jpg', 'false') - ER_TRUNCATED_WRONG_VALUE_FOR_FIELD: Incorrect integer value: 'false' for column `pod_user_service`.`podu04_user_detail`.`PODU04_WORKING_WITH_OTHERS` at row 1
4/2/2020 16:04 | /src/responses/response.js(42) | 3lLOHaaOnHMW4PyXbWheGXQyYQ1tVEgB | IP - Unknown | [error] | URL : http://192.168.10.106:2013/api/user/create_driver | Request : {} | Error : Something went wrong. Please try again insert into `POD_USER_SERVICE`.`PODU04_USER_DETAIL` (`PODU03_USER_MASTER_D`, `PODU04_AGE_D`, `PODU04_CREATED_D`, `PODU04_EMAIL_STATUS_D`, `PODU04_EXPERIENCE_D`, `PODU04_GENDER_D`, `PODU04_OTHER_SERVICE_INFO`, `PODU04_PHONE_N`, `PODU04_PROFILE_I`, `PODU04_WORKING_WITH_OTHERS`) values (79, '20', 19, 2, '5', '1', 'Service info', '12345678901', 'public/uploads/1580812463204.jpg', 'false') - ER_TRUNCATED_WRONG_VALUE_FOR_FIELD: Incorrect integer value: 'false' for column `pod_user_service`.`podu04_user_detail`.`PODU04_WORKING_WITH_OTHERS` at row 1
4/2/2020 16:05 | /src/responses/response.js(26) | wjQcuyYQrq9vCshDwxbubDeLHEBf3Dm5 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":19,"firstName":"Root","lastName":"Root","emailId":"root@email.com","typeId":1,"status":1,"createdAt":"2020-01-31T08:08:50.000Z","updatedAt":"2020-01-31T08:08:50.000Z","createdBy":null,"updatedBy":19,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE5LCJpYXQiOjE1ODA4MTI1MTEsImV4cCI6MTU4MDg5ODkxMX0.wJW7lurTkJc93QhhlihD4BjB6SxOPty3vxDwQUs_Ym8"}
4/2/2020 16:05 | /src/responses/response.js(26) | s3tb80C0kRlLQ0mm6XDD2c3B8kgZV9X7 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/verify_token | Request : {} | Response :  {"userId":19,"firstName":"Root","lastName":"Root","emailId":"root@email.com","typeId":1,"status":1,"createdAt":"2020-01-31T08:08:50.000Z","updatedAt":"2020-01-31T08:08:50.000Z","createdBy":null,"updatedBy":19,"userDetails":{"detailsId":14,"userId":19,"emailStatus":2,"phoneNo":"12312312313"}}
4/2/2020 16:05 | /src/responses/response.js(26) | s3tb80C0kRlLQ0mm6XDD2c3B8kgZV9X7 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/admins?status=1&page=1&sortOut=Latest | Request : {} | Response :  {"list":[{"userId":69,"firstName":"Karan","lastName":"Mandal","emailId":"admin2@email.com","status":1,"updatedAt":"2020-02-03T10:39:20.000Z","userDetails":{"detailsId":56,"userId":69,"emailStatus":2,"phoneNo":"7898432337"}}],"pageMetaData":{"chunk":10,"total":1,"page":1,"totalPages":1}}
4/2/2020 16:05 | /src/responses/response.js(26) | s3tb80C0kRlLQ0mm6XDD2c3B8kgZV9X7 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/admins?status=4&page=1&sortOut=Latest | Request : {} | Response :  {"list":[{"userId":22,"firstName":"New","lastName":"Admin","emailId":"admin1@email.com","status":4,"updatedAt":"2020-01-31T09:44:44.000Z","userDetails":{"detailsId":16,"userId":22,"emailStatus":2,"phoneNo":"12312312311"}},{"userId":27,"firstName":"krishnaraj","lastName":"R","emailId":"krishnaraj@bizverify.org","status":4,"updatedAt":"2020-01-31T09:59:47.000Z","userDetails":{"detailsId":18,"userId":27,"emailStatus":2,"phoneNo":"8754666985"}}],"pageMetaData":{"chunk":10,"total":2,"page":1,"totalPages":1}}
4/2/2020 16:05 | /src/responses/response.js(26) | lLoRp4GfQmRDnMwT50r1WrXKi7fjubV1 | IP - Unknown | [info] | URL : http://192.168.10.106:2012/api/user/drivers/?status=1&page=1&sortOut=Latest | Request : {} | Response :  {"list":[{"userId":55,"firstName":"krishnaraj","lastName":"R","emailId":"krishnaraj1@bizverify.org","status":1,"updatedAt":"2020-01-31T15:24:24.000Z","userDetails":null},{"userId":56,"firstName":"Driver","lastName":"Driver","emailId":"karanxx2@email.com","status":1,"updatedAt":"2020-01-31T15:32:49.000Z","userDetails":{"detailsId":44,"userId":56,"emailStatus":2,"phoneNo":"7898432337"}},{"userId":57,"firstName":"krishnaraj","lastName":"R","emailId":"krishnaraj3@bizverify.org","status":1,"updatedAt":"2020-01-31T15:40:04.000Z","userDetails":{"detailsId":45,"userId":57,"emailStatus":2,"phoneNo":null}},{"userId":73,"firstName":"Driver","lastName":"Driver","emailId":"karanxx3@email.com","status":1,"updatedAt":"2020-02-03T13:00:01.000Z","userDetails":{"detailsId":58,"userId":73,"emailStatus":2,"phoneNo":null}},{"userId":75,"firstName":"Driver","lastName":"Driver","emailId":"karanxx4@email.com","status":1,"updatedAt":"2020-02-03T14:10:46.000Z","userDetails":{"detailsId":59,"userId":75,"emailStatus":2,"phoneNo":null}},{"userId":79,"firstName":"Driver","lastName":"Driver","emailId":"karanxx5@email.com","status":1,"updatedAt":"2020-02-04T10:34:23.000Z","userDetails":null}],"pageMetaData":{"chunk":10,"total":6,"page":1,"totalPages":1}}
