28/2/2020 11:02 | /src/responses/response.js(26) | PktdrdVLuOeBYGon6bzA97kRUEFuBxkw | IP - Unknown | [info] | URL : http://192.168.10.118:2017/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":133,"firstName":"sunil","lastName":"test","emailId":"sunil123@email.com","typeId":3,"status":1,"createdAt":"2020-02-05T15:33:34.000Z","updatedAt":"2020-02-05T15:33:34.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":152,"emailStatus":2,"signUpStatus":6,"phoneNo":"7418537983"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjEzMywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTgyODY3OTQxLCJleHAiOjE1ODI5NTQzNDF9.8JZkYzo09CVQAVOqdyUP4wCnEl3aNGvkPqo6L1xVzZ4"}
28/2/2020 11:04 | /src/responses/response.js(26) | noKFfves8TYnj0SwpTXyEZw3zyJ0FCgR | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 11:04 | /src/responses/response.js(26) | hppBmjJFdTlfyWF5HzIARXpfkK8eadKo | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 11:05 | /src/responses/response.js(26) | 9EBFqvu5htXNp3BKikPa4DYeHokUzLZ7 | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 11:07 | /src/responses/response.js(26) | pcPa0XyPlWsHZzyMGcUvROLmCvOUgzvA | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 11:07 | /src/responses/response.js(26) | OAig1xOC83c6VOrX8lUTnANm14zDJQix | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 11:07 | /src/exceptions/Handler.js(26) | 1WapLBlRW6kTeY1yhtlUGu4QIINuQv9i | IP - Unknown | [error] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Error : insert into `POD_USER_SERVICE`.`PODU06_ADDRESS` (`PODU03_USER_MASTER_D`, `PODU06_CREATED_D`, `PODU06_LINE_1_N`, `PODU06_LOCATION_LATITUDE_N`) values (133, 133, 'Test address', '90876123.88') - ER_NO_DEFAULT_FOR_FIELD: Field 'PODU06_ADDRESS_TYPE_D' doesn't have a default value
28/2/2020 11:07 | /src/responses/response.js(42) | 1WapLBlRW6kTeY1yhtlUGu4QIINuQv9i | IP - Unknown | [error] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Error : Something went wrong. Please try again insert into `POD_USER_SERVICE`.`PODU06_ADDRESS` (`PODU03_USER_MASTER_D`, `PODU06_CREATED_D`, `PODU06_LINE_1_N`, `PODU06_LOCATION_LATITUDE_N`) values (133, 133, 'Test address', '90876123.88') - ER_NO_DEFAULT_FOR_FIELD: Field 'PODU06_ADDRESS_TYPE_D' doesn't have a default value
28/2/2020 11:08 | /src/responses/response.js(26) | 8Fwec3ySRKHZtvg84Ty4EklopLlLwoaU | IP - Unknown | [info] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Response :  null
28/2/2020 12:10 | /src/exceptions/Handler.js(53) | dT2QFxj6uECGDWVjsrmoi6LSnLDDH61P | IP - Unknown | [error] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Error : Invalid token provided.
28/2/2020 12:10 | /src/responses/response.js(42) | dT2QFxj6uECGDWVjsrmoi6LSnLDDH61P | IP - Unknown | [error] | URL : http://192.168.10.118:2017/api/driver/driver_profile | Request : {} | Error : Unauthorized access. Invalid token provided.
28/2/2020 12:10 | /src/exceptions/Handler.js(26) | 46lF63VYkAUAixy0xKK9Ybb39R2LRkJI | IP - Unknown | [error] | URL : http://192.168.10.118:2017/or1.0/v1/api/user/login | Request : {} | Error : Cannot read property 'emailStatus' of null
