16/3/2020 13:39 | /src/responses/response.js(26) | Fq648oIUsYC6JOQNEFeE9AU82N762IXt | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjMzNywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTg0MzQ2MTQ2fQ.wzm1jR3DhbxjjK6nKCISqfPDH9xkP0Eil80lSWlLCcI"}
16/3/2020 13:39 | /src/responses/response.js(26) | vcIzna90CKQgugl2NOw3ry54duBEBo4h | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"addressDetails":null,"changedPassword":true}
16/3/2020 13:39 | /src/responses/response.js(26) | 9GBphZamHkUluJEd1851IYcq4O6PCzet | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"addressDetails":null,"changedPassword":true}
16/3/2020 18:05 | /src/responses/response.js(26) | cvPJATkalqJV50gdppMte1nwffL5VYpW | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjMzNywidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTg0MzYyMTM2fQ.so1zxoQLOl4yOa7ik0UajqNDF4-BG8N3CYhpcgRwpro"}
16/3/2020 18:07 | /src/exceptions/Handler.js(62) | 4Gjg6znslZy8CxbMQtMNtWJ5aX7wWIJ7 | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
16/3/2020 18:07 | /src/responses/response.js(42) | 4Gjg6znslZy8CxbMQtMNtWJ5aX7wWIJ7 | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
16/3/2020 18:07 | /src/exceptions/Handler.js(62) | dY8EO1aBJBQpwMh4zMOm2zYNxvWUYQwj | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : Entered password is incorrect
16/3/2020 18:07 | /src/responses/response.js(42) | dY8EO1aBJBQpwMh4zMOm2zYNxvWUYQwj | IP - Unknown | [error] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Error : Entered password is incorrect
16/3/2020 18:08 | /src/responses/response.js(26) | 8zQsxMejSGvzS8uTHDPznszMfpLO9sTl | IP - Unknown | [info] | URL : http://192.168.10.118:2081/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":339,"firstName":"USER","lastName":"USER","emailId":"prakashuser@doodleblue.com","typeId":4,"status":1,"createdAt":"2020-03-11T11:29:29.000Z","updatedAt":"2020-03-11T11:29:29.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":265,"emailStatus":2,"signUpStatus":9,"phoneNo":"7898402307"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjMzOSwidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTg0MzYyMjk1fQ.j2Y3qIx5S4t2YTFQTnia8Iz5Y1aj2DPbduk8BbdH14U"}
16/3/2020 18:09 | /src/responses/response.js(26) | g0Kl3R63jN3J7AaPzTYsQl1k6uKO1byP | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":339,"firstName":"USER","lastName":"USER","emailId":"prakashuser@doodleblue.com","typeId":4,"status":1,"createdAt":"2020-03-11T11:29:29.000Z","updatedAt":"2020-03-11T11:29:29.000Z","createdBy":null,"updatedBy":null,"addressDetails":null,"userDetails":{"detailsId":265,"emailStatus":2,"signUpStatus":9,"phoneNo":"7898402307"},"changedPassword":true}
16/3/2020 18:12 | /src/responses/response.js(26) | B5Uuz8S8KJpqI5ne5vKkgB0f7kMjTDr0 | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":339,"firstName":"USER","lastName":"USER","emailId":"prakashuser@doodleblue.com","typeId":4,"status":1,"createdAt":"2020-03-11T11:29:29.000Z","updatedAt":"2020-03-11T11:29:29.000Z","createdBy":null,"updatedBy":null,"addressDetails":null,"userDetails":{"detailsId":265,"emailStatus":2,"signUpStatus":9,"phoneNo":"7898402307"},"changedPassword":true}
